description,Gear,Source,Mgmt_area,Sex,year,age,mean_weight,sd_weight,n
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,33,8.2,2.1,15
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,34,7.6,2.2,10
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,35,8.1,2,11
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,36,7.4,2.1,7
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,37,5.3,2.3,6
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,38,8.1,1,7
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,39,8.6,2.9,6
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,40,8.3,2.5,7
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,41,9.5,2.6,7
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,42,8,2.8,4
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,43,7.1,1.1,4
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,44,7.6,2.6,5
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,45,9.2,0.9,3
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,46,11,3.3,3
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,47,9.2,1.7,3
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,48,7.7,2.6,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,49,9.7,2.3,6
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,50,8.3,0.2,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,51,7.7,3.1,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,53,5.6,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,54,16.7,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,55,5.4,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,57,11.9,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,58,10.6,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,61,11.5,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,70,10,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,2,2.2,1,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,3,2,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,4,2.8,0.9,11
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,5,3.4,0.7,46
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,6,3.6,0.8,85
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,7,3.7,0.8,145
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,8,3.8,0.9,109
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,9,3.8,0.9,139
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,10,4.1,0.8,104
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,11,4.2,1.1,68
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,12,4.1,1,47
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,13,4.1,0.9,31
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,14,4.2,0.7,24
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,15,5.1,1.1,21
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,16,5.4,1.6,18
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,17,5.9,1.8,19
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,18,5.4,1.7,11
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,19,6,1.6,19
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,20,6.4,1.7,11
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,21,6.5,1.8,14
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,22,6.8,2.1,19
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,23,6.6,2.1,21
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,24,6.3,1.6,19
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,25,5.7,1.5,20
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,26,6.7,2,17
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,27,7,1.7,19
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,28,7,1.4,19
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,29,7.4,2,21
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,30,7.5,1.9,23
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,31,6.5,1,14
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,32,6.4,1.9,23
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,33,6.9,2.9,7
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,34,7.7,2.4,13
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,35,6.8,0.9,9
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,36,6.9,2,11
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,37,9.2,3.2,10
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,38,7.3,3.3,5
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,39,7.4,1.8,6
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,40,8.3,3.5,3
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,41,8.9,3.3,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,42,9.1,1.2,3
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,43,6.5,2.1,5
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,44,10.4,4.3,4
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,45,7.9,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,46,8.5,2.1,4
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,47,8.5,0.8,3
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,48,6.3,0.6,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,49,10.2,2.1,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,50,6,0.2,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,51,10.5,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,52,9.6,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,54,10.2,0.1,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,56,14.1,2.7,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,58,11.3,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,59,8,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,60,8.3,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,63,6.8,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,64,7.4,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2005,65,8.2,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,3,1.8,0.2,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,4,3.2,1,7
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,5,3.2,0.9,35
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,6,3.6,0.8,63
